sigma,ell,seed,n_trajectories,n_vacua,n_sectors,global_kl,isr_kl,improvement_ratio,isr_wins,lambda_eff,basin_exception_rate,multi_basin
2.0,0.1,3,2000,6,2000,0.0007700692567345234,0.0,,False,1.999999999999999,0.0,True
2.0,0.1,4,2000,6,2000,0.001368137890001001,0.0,,False,1.9999999999999991,0.0,True
2.0,0.1,5,2000,6,2000,0.0013139588544752692,0.0,,False,2.0000000000000018,0.0,True
2.0,0.25,1,2000,6,2000,0.0016365389237151494,8.304180674710735e-09,197074.09891730902,True,1.9999996664620403,0.0,True
2.0,0.25,2,2000,6,2000,0.0025342692806052634,7.498845337299832e-09,337954.6005569169,True,1.99999958935986,0.0,True
2.0,0.25,3,2000,6,2000,0.0007700692567345234,2.0879264790408153e-09,368820.1018880176,True,1.9999996721049935,0.0,True
2.0,0.25,4,2000,6,2000,0.001368137890001001,1.796890371571688e-08,76139.19644993871,True,1.9999995772796495,0.0,True
2.0,0.25,5,2000,6,2000,0.0013139588544752692,1.686424869222487e-08,77913.86847141669,True,1.9999996360377592,0.0,True
2.0,0.5,1,2000,6,2000,0.0016365389237151494,1.660690780053557e-05,98.5456740876451,True,1.9782845998729215,0.0,True
2.0,0.5,2,2000,6,2000,0.0025342692806052634,3.1430002373944536e-05,80.63216955739628,True,1.9785706214080827,0.0,True
2.0,0.5,3,2000,6,2000,0.0007700692567345234,2.1714052993048788e-05,35.464095854469996,True,1.979240464437709,0.0,True
2.0,0.5,4,2000,6,2000,0.001368137890001001,4.933468865506321e-06,277.3176292986678,True,1.9778028127962635,0.0,True
2.0,0.5,5,2000,6,2000,0.0013139588544752692,5.6368308140843916e-05,23.31024112329509,True,1.9800898998759495,0.0,True
2.0,1.0,1,2000,6,2000,0.0016365389237151494,0.0004502980320953529,3.634346159808675,True,1.6152552682198442,0.004040558054433178,True
2.0,1.0,2,2000,6,2000,0.0025342692806052634,0.0005223873621778364,4.851321957789863,True,1.627320022146419,0.008986260675826216,True
2.0,1.0,3,2000,6,2000,0.0007700692567345234,0.00040644695638568124,1.8946365439228374,True,1.6242596222335663,0.006622018210550079,True
2.0,1.0,4,2000,6,2000,0.001368137890001001,5.180442219768201e-05,26.409673768395365,True,1.6124394751530653,0.0038980509745127436,True
2.0,1.0,5,2000,6,2000,0.0013139588544752692,0.0008066350744213821,1.6289384086326795,True,1.6369927989604638,0.005964214711729622,True
2.0,2.0,1,2000,6,2000,0.0016365389237151494,0.0008582937442524923,1.9067352344976587,True,1.3524385989510481,0.5020772191942676,True
2.0,2.0,2,2000,6,2000,0.0025342692806052634,0.0011178923793954405,2.2670064912472196,True,1.3642526366397243,0.49260428153161717,True
2.0,2.0,3,2000,6,2000,0.0007700692567345234,0.00048640913355227117,1.5831718683213607,True,1.3593105600859605,0.5098031934645377,True
2.0,2.0,4,2000,6,2000,0.001368137890001001,9.225208321768494e-05,14.830428129982064,True,1.3513146393024529,0.49845247980674867,True
2.0,2.0,5,2000,6,2000,0.0013139588544752692,0.0009342088268757896,1.406493726749994,True,1.370962199077368,0.5139823538208464,True
3.0,0.1,1,2000,6,2000,0.0034413014662306556,0.0,,False,1.9999999999999998,0.0,True
3.0,0.1,2,2000,6,2000,0.0015579664835769572,0.0,,False,2.0000000000000004,0.0,True
3.0,0.1,3,2000,6,2000,0.0011704241054369385,0.0,,False,2.000000000000001,0.0,True
3.0,0.1,4,2000,6,2000,0.0006112922235316687,0.0,,False,2.0000000000000018,0.0,True
3.0,0.1,5,2000,6,2000,0.0012422830201896822,0.0,,False,2.0000000000000013,0.0,True
3.0,0.25,1,2000,6,2000,0.0034413014662306556,9.448583600995764e-08,36421.34749030516,True,1.9999995388315583,0.0,True
3.0,0.25,2,2000,6,2000,0.0015579664835769572,3.0801163158459855e-09,505814.1718745598,True,1.9999995943021645,0.0,True
3.0,0.25,3,2000,6,2000,0.0011704241054369385,4.081136729903263e-10,2867887.5100190076,True,1.9999996555834099,0.0,True
3.0,0.25,4,2000,6,2000,0.0006112922235316687,4.352917967446153e-08,14043.274605753997,True,1.9999995670004664,0.0,True
3.0,0.25,5,2000,6,2000,0.0012422830201896822,9.324047318510145e-10,1332343.1099748882,True,1.9999996203220491,0.0,True
3.0,0.5,1,2000,6,2000,0.0034413014662306556,0.00010027033482325701,34.32023511536604,True,1.9751140597637065,0.0,True
3.0,0.5,2,2000,6,2000,0.0015579664835769572,1.238002982832061e-05,125.84513165008265,True,1.9763908615552848,0.0,True
3.0,0.5,3,2000,6,2000,0.0011704241054369385,2.1494515238991545e-05,54.452221528297706,True,1.9771904804761637,0.0,True
3.0,0.5,4,2000,6,2000,0.0006112922235316687,3.666513958844385e-05,16.672300457416952,True,1.976132543137607,0.0,True
3.0,0.5,5,2000,6,2000,0.0012422830201896822,2.0303218159525244e-05,61.18650799242217,True,1.9788184650630827,0.0,True
3.0,1.0,1,2000,6,2000,0.0034413014662306556,0.0004823238124581687,7.1348363430203126,True,1.558300224870443,0.004139323573952549,True
3.0,1.0,2,2000,6,2000,0.0015579664835769572,0.00029911711019304545,5.20855019818649,True,1.5868243583244406,0.008356826419653645,True
3.0,1.0,3,2000,6,2000,0.0011704241054369385,0.000299191270141344,3.9119594127328865,True,1.57518531734876,0.004068762079137422,True
3.0,1.0,4,2000,6,2000,0.0006112922235316687,5.394261791158573e-05,11.332268384408094,True,1.5740302106418897,0.00502563071665494,True
3.0,1.0,5,2000,6,2000,0.0012422830201896822,0.0003284894733973592,3.781804656756679,True,1.6070634958588745,0.004617752693689072,True
3.0,2.0,1,2000,6,2000,0.0034413014662306556,0.0012546393892559505,2.742861013052906,True,1.2720901682841075,0.5087894029181813,True
3.0,2.0,2,2000,6,2000,0.0015579664835769572,0.0007206279475741456,2.161956788966553,True,1.3070046727551807,0.5077961019490255,True
3.0,2.0,3,2000,6,2000,0.0011704241054369385,0.0005539437423910847,2.1128934508490542,True,1.2834179955790481,0.5215967946838659,True
3.0,2.0,4,2000,6,2000,0.0006112922235316687,0.0001692631540878047,3.611490207813113,True,1.2921194012593462,0.5118114119445677,True
3.0,2.0,5,2000,6,2000,0.0012422830201896822,0.0007484277412601781,1.6598569931386653,True,1.3198943150359617,0.5269855199648968,True
